文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,"In the fabrication history of Specimens AO, MC, and MD, the intermediate annealing temperature was the highest among the specimens tested",Zircaloy-2,,intermediate annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,High- annealing to reduce the nodular corrosion of Zircaloy-2 in steam has been reported,Zircaloy-2,,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"MA Number Density, 105 L/mm²",,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,1/mm²
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"MB Number Density, 1.2 × 0.7 × 105 L/mm²",,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,1/mm²
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"KTA Mean Diameter, 0.24 μm",,KTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,μm
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"NF Number Density, 6.8 × 105 L/mm²",,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000,1/mm²
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"SM Number Density, 1.2 × 106 L/mm²",,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1/mm²
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,Table 6,"SM2 Number Density, 7.6 × 105 L/mm²",,SM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760000,1/mm²
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,irradiated for four cycles up to 28 MWd/kgU,Zircaloy-2,,,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,MWd/kgU,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,in-reactor nodular corrosion susceptibility of lot MA was slightly greater than that of lot MC,,MA,,in-reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,Lot MD seemed to have the best resistance against nodular corrosion among the four lots,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,out-of-reactor steam corrosion tests demonstrated the relatively low resistance for lots MA and MB,,MA,,steam corrosion,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,out-of-reactor steam corrosion tests demonstrated the relatively low resistance for lots MA and MB,,MB,,steam corrosion,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk6,text,intermediate resistance for lot MC,,MC,,steam corrosion,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk7,text,Out-of-reactor corrosion tests in $1 0 . 3 \mathrm { M P a }$ steam at temperatures between 490 and $5 3 0 \mathrm { { \circ C } }$ have been carried out on Zircaloy-2 tube specimens,Zircaloy-2,tube,,corrosion test,,,,,,,,,,,,,,,,,,490,steam,10.3,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk7,text,Out-of-reactor corrosion tests in $1 0 . 3 \mathrm { M P a }$ steam at temperatures between 490 and $5 3 0 \mathrm { { \circ C } }$ have been carried out on Zircaloy-2 tube specimens,Zircaloy-2,tube,,corrosion test,,,,,,,,,,,,,,,,,,530,steam,10.3,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk7,text,"Material parameters, such as chemical composition, texture, and precipitates, were examined in relation to the nodular corrosion susceptibility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk8,1,a high-pressure steam autoclave test performed at 520°C for 24 h,Zircaloy-2,cladding tubes,,high-pressure steam autoclave test,,,,,,,,,,,,,,,,,,520.0,steam,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk8,1,exposed to steam at high temperature and high pressure (typically 500°C 10 MPa),Zircaloy,cladding,,autoclave test,,,,,,,,,,,,,,,,,,500.0,steam,10.0,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk8,1,"a 520°C, 10.3-MPa steam test ranks Zr-2 cladding",Zircaloy-2,cladding,,steam test,,,,,,,,,,,,,,,,,,520.0,steam,10.3,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.360,"Interlaboratory # 1, each laboratory used its own test procedure. The large scatter in data is attributed primarily to differences in autoclave start-up techniques, with minor contributions from variations in pickling time, and residual oxygen remaining in the autoclaves.",Zircaloy-2,,pickling,autoclave corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6–7.3,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.360,Decreased corrosion of annealed 2.5Nb zirconium with time is attributed to the monotectoid transformation of Nb enriched βZr to αZr plus βNb,2.5Nb zirconium,annealed,,corrosion test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.360,"this alloy oxidizes much faster in high-temperature water and steam-containing oxygen, than in de-oxygenated environments",2.5Nb zirconium,,,corrosion test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,"water, steam",,,,,,"oxygen-containing, de-oxygenated",,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.361,"(b) ""sensitized"" at Bettis Atomic Power Laboratories by heating in vacuo for 8 h at 900 C (1650 F), furnace-cooled at 2 C/min to 316 C (600 F), then air-cooled to room temperature",Zircaloy-2,sensitized,"heat treatment: 900°C/8h vacuo, furnace cool 2°C/min to 316°C, air cool",autoclave corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.361,All coupons were exposed for 14 days in 400 C (750 F) 1500 psi steam,Zircaloy-2,,,autoclave corrosion test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,336.0,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,p.361,"(a) ""Heat treated"" by holding in vacuo at 850 C for 15 min, water-quenched, cold-worked to 20 percent reduction in area, aged at 500 C in vacuo for 24 h",2.5Nb zirconium,heat treated,850°C/15min vacuo + water quench + 20% cold work + 500°C/24h vacuo aging,autoclave corrosion test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,Table 1,"Lab 1: As-Received 34, Bettis-Sensitized 66, Lab-Sensitized 69",Zircaloy-2,as-received,,autoclave corrosion test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,336.0,,,,,,,,,,,,,,,,34,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk1,Table 1,"Lab 1: As-Received 34, Bettis-Sensitized 66, Lab-Sensitized 69",Zircaloy-2,sensitized,Bettis sensitized,autoclave corrosion test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,336.0,,,,,,,,,,,,,,,,66,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk2,text,"All samples were machined and pickled at Chalk River Nuclear Laboratories, the recipient laboratories only applying a degreasing wash in solvent before testing.",,degreased,degreasing wash in solvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk2,text,"Autoclave tests were conducted in 400 C, 1500 psig steam, for 3 days and 14 days",,,,autoclave test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,72.0,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk2,Table 2,Condition. QCWA† ANN‡,2.5Nb zirconium,"annealed in vacuo, 700°C, for 1h, rapidly cooled",annealing,,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk2,Table 2,Laboratory 1: 16.7 28.0,2.5Nb zirconium,"heat-treated and quenched from 850°C, cold-worked 20%, aged at 500°C in vacuo for 24h",,autoclave test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,16.7,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk2,Table 2,Laboratory 1: 16.7 28.0,2.5Nb zirconium,"annealed in vacuo, 700°C, for 1h, rapidly cooled",,autoclave test,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,28.0,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,1,"Fourteen-day exposures of sensitized and reactor-grade Zircaloy revealed that the venting temperature influenced corrosion response. With water starts, venting at temperatures up to 150 C (300 F) resulted in lower weight gains than venting at 316 C (600 F)",Zircaloy,sensitized and reactor-grade,,corrosion test,,,,,,,,,,,,,,,,,,150.0,water,,,,,336.0,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,1,"Fourteen-day exposures of sensitized and reactor-grade Zircaloy revealed that the venting temperature influenced corrosion response. With water starts, venting at temperatures up to 150 C (300 F) resulted in lower weight gains than venting at 316 C (600 F)",Zircaloy,sensitized and reactor-grade,,corrosion test,,,,,,,,,,,,,,,,,,316.0,water,,,,,336.0,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,1,"proof tests in flowing 400 C moist oxygen gave low weight gains for material with segregated intermetallics as well as ""good"" Zircaloy",Zircaloy,"with segregated intermetallics, good",,proof test,,,,,,,,,,,,,,,,,,400.0,moist oxygen,,,,,,flowing,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,1,"a 2-week rerun was conducted in flowing steam containing 5 to 6 ppm oxygen. Weight gains of the sensitized material differed little from the as-received alloy; for example, 28 to 34, and 27 mg/dm2, respectively",Zircaloy,sensitized,,corrosion test,,,,,,,,,,,,,,,,,,,steam,,,,,336.0,"flowing, 5-6 ppm oxygen",,,,,,,,,,,,,,,28–34,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,1,"a 2-week rerun was conducted in flowing steam containing 5 to 6 ppm oxygen. Weight gains of the sensitized material differed little from the as-received alloy; for example, 28 to 34, and 27 mg/dm2, respectively",Zircaloy,as-received,,corrosion test,,,,,,,,,,,,,,,,,,,steam,,,,,336.0,"flowing, 5-6 ppm oxygen",,,,,,,,,,,,,,,27,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,Table 3,"Zircaloy-2, Annealed 800 C 1 h, rapidly cooled, Weight Gains, mg/dm2 No Vent: 19.6 ± 0.9, ASTM Method: 15.6 ± 0.5",Zircaloy-2,"Annealed 800 C 1 h, rapidly cooled",annealing,proof test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,72.0,no vent,,,,,,,,,,,,,,,18.7–20.5,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk3,Table 3,"Zircaloy-2, Annealed 800 C 1 h, rapidly cooled, Weight Gains, mg/dm2 No Vent: 19.6 ± 0.9, ASTM Method: 15.6 ± 0.5",Zircaloy-2,"Annealed 800 C 1 h, rapidly cooled",annealing,proof test,,,,,,,,,,,,,,,,,,400.0,steam,10.34,,,,72.0,ASTM Method A,,,,,,,,,,,,,,,15.1–16.1,mg/dm²,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk4,text,"aging at the autoclaving temperature will alter the metallurgical conditions of the alloy, thereby changing the corrosion rate",2.5Nb zirconium,,aging,,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0–55.0,°C,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk4,appendix,"quenched, cold-worked, and aged material will have a highly reflective mirror-like surface",2.5Nb zirconium,"quenched, cold-worked, aged","quenching, cold-working, aging",,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk4,appendix,Material annealed at 700 C will exhibit a dull smooth surface,2.5Nb zirconium,annealed 700 C,annealing,,,,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk4,appendix,When the internal temperature reaches 300 ± 50 F (149 ± 2.8 C),,,autoclave testing,steam test,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,146.2–151.8,°C,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk5,abstract,Neutron radiography was shown to be effective for detection of hydrogen in thin-walled Zircaloy-2 tubing to a lower limit of 500 to 700 ppm,Zircaloy-2,thin-walled tubing,post-irradiation examination,neutron radiography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0–700.0,ppm,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk5,abstract,"Using a densitometer of 1 percent precision, a sensitivity of about ±400 ppm through the center of the tube and ±200 ppm through the wall of the tube at the 1000-ppm level was obtained",Zircaloy-2,tubing,post-irradiation examination,neutron radiography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk5,abstract,The neutrographic technique was also used to detect local concentrations of zirconium hydride in irradiated Zircaloy-2 fuel cladding which were not identifiable by other non-destructive means,Zircaloy-2,irradiated fuel cladding,post-irradiation examination,neutron radiography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_026_chunk5,abstract,"The method, though not sensitive below 500 ppm hydrogen is, nevertheless, useful",Zircaloy-2,,,neutron radiography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,text,Internal hydriding of Zircaloy cladding is a persistent cause of cladding failures,Zircaloy,cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,count,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,text,"Hydrogen pickup in Zircaloy fuel rods falls into three categories: expected because of corrosion, accelerated, and massive",Zircaloy,fuel rod cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,mm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk1,text,Both accelerated and massive hydriding occurred at remote locations from the defect,Zircaloy,cladding,,in-pile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,Hydrides in the vicinity of the defect hole were generally low in concentration with typical uniform levels of about 100 ppm,,cladding,irradiation,irradiation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk2,text,hydrogen concentrations ranged from <100 ppm near the inner surface to several hundred parts per million (ppm) or more near the outer surface,,cladding,irradiation,metallographic examination,,,,,,,,,,,,,,,,,,,ThO2-UO2 annulus,,,,,,,,,,,,,,,,,,,,,100–300,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Defected fuel rod; Temperature, K: 672; Time, h: 1224; Pit, mm: 5.2 × 10³; Measured pH2/PH20: 5 × 10⁻²; Critical pH2/PHo: 1.5 × 10³; Observation: normal corrosion and accelerated hydriding",Zircaloy-2,defected fuel rod,,corrosion test,,,,,,,,,,,,,,,,,,399,,,,,,1224,,,,,,,,,,,,,,,,1500,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Capsule; Temperature, K: 593; Time, h: 40; PH{2, mm: 760; Measured pH2/PH2: 1.25 × 10³; Critical pH2/P: 4.2 × 10²; Observation: no massive hydriding",Zircaloy-2,capsule,,corrosion test,,,,,,,,,,,,,,,,,,320,,,,,,40,,,,,,,,,,,,,,,,1250,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Capsule; Temperature, K: 591; Time, h: 21; PH{2, mm: 760; Measured pH2/PH2: 2.0 × 10³; Critical pH2/P: 4.2 × 10²; Observation: massive hydriding limited to end cap",Zircaloy-2,capsule,,corrosion test,,,,,,,,,,,,,,,,,,318,,,,,,21,,,,,,,,,,,,,,,,2000,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Capsule; Temperature, K: 593; Time, h: 12; PH{2, mm: 760; Measured pH2/PH2: 3.3 × 10; Critical pH2/P: 4.2 × 10²; Observation: crevice regions massive hydriding in crevice regions",Zircaloy-2,capsule,,corrosion test,,,,,,,,,,,,,,,,,,320,,,,,,12,,,,,,,,,,,,,,,,33,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Capsule; Temperature, K: 583; Time, h: 6; PH{2, mm: 760; Measured pH2/PH2: >107; Critical pH2/P: 4.2 × 10²; Observation: massive hydriding distributed uniformly along crevice",Zircaloy-2,capsule,,corrosion test,,,,,,,,,,,,,,,,,,310,,,,,,6,,,,,,,,,,,,,,,,107,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk3,Table 1,"Tubingh; Temperature, K: 573; Time, h: 6; PH{2, mm: 760; Measured pH2/PH2: 10³ to 10; Critical pH2/P: 4.2 × 10²; Observation: accelerated hydriding",,tubing,,corrosion test,,,,,,,,,,,,,,,,,,300,,,,,,6,,,,,,,,,,,,,,,,10–1000,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk4,table,"Vapor-blasted, 673 K, 72 h, PH{, mm: 0.1, Measured pH2/PH20: 1, Critical PH2/PH2: 1.1, Observation: no hydriding",,Vapor-blasted,,hydriding test,,,,,,,,,,,,,,,,,,399.85,,,,,,72,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk4,table,"Etched, autoclaved, scratched, 623 K, 1008 h, PH{, mm: 0.4, Measured pH2/PH20: 5, Critical PH2/PH2: 2.7, Observation: normal corrosion",,"Etched, autoclaved, scratched",,hydriding test,,,,,,,,,,,,,,,,,,349.85,,,,,,1008,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk4,table,"Etched, 573 K, 1008 h, PH{, mm: 0.4, Measured pH2/PH20: 5, Critical PH2/PH2: 2.7, Observation: normal corrosion hydridng",,Etched,,hydriding test,,,,,,,,,,,,,,,,,,299.85,,,,,,1008,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,Most out-of-pile hydriding tests of Zircaloy in H₂/H₂O atmospheres were performed on coupons and on chip specimens,Zircaloy,"coupons, chip specimens",,hydriding test,,,,,,,,,,,,,,,,,,,H₂/H₂O atmosphere,,,,,,H₂/H₂O,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,"Hydriding, often premature, was initiated at the sharp corners and edges of the Zircaloy coupons",Zircaloy,coupons,,hydriding test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,the surface films can be listed in the following order of decreasing protection: prefilmed/autoclaved > etched > vapor blasted,Zircaloy-2,"prefilmed/autoclaved, etched, vapor blasted",,hydriding test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,"In some tests, even scratched autoclaved surfaces were protective in the H₂-H₂O atmospheres",Zircaloy,scratched autoclaved surfaces,,hydriding test,,,,,,,,,,,,,,,,,,,H₂-H₂O atmosphere,,,,,,H₂-H₂O,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,accelerated and heavy localized hydriding were produced in etched Zircaloy surfaces by scratching the room temperature film and exposing the specimens to pure hydrogen,Zircaloy,etched,,hydriding test,,,,,,,,,,,,,,,,,,,pure hydrogen,,,,,,hydrogen,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,text,"Specimen characteristics such as geometry and surface condition, as well as environmental factors, such as hydrogen pressure, test temperature. and test time, affect the amount of hydrogen pickup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,Table 5,Specimen geometry: Coupons > tubing > spheres,,"coupons, tubing, spheres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk5,Table 5,Zircaloy surface: Abraded > etched > prefilmed,Zircaloy,"abraded, etched, prefilmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,Table 6,"Burst Temperature, K: 1102; Size of Rupture Opening, cm: 0.003; Hydrogen Content, ppm: 340, 1230, 1700, 400",Zircaloy-4,ruptured rods,,burst test,,,,,,,,,,,,,,,,,,828.85,steam,,,,,,steam,,,,,,,,,,,,,,,340.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,Table 6,"Burst Temperature, K: 1144; Size of Rupture Opening, cm: 0.019; Hydrogen Content, ppm: 570, 860, 810, 500",Zircaloy-4,ruptured rods,,burst test,,,,,,,,,,,,,,,,,,870.85,steam,,,,,,steam,,,,,,,,,,,,,,,570.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,Table 6,"Burst Temperature, K: 1197; Size of Rupture Opening, cm: 0.021; Hydrogen Content, ppm: 570, 860, 810, 500",Zircaloy-4,ruptured rods,,burst test,,,,,,,,,,,,,,,,,,923.85,steam,,,,,,steam,,,,,,,,,,,,,,,570.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,Table 6,"Burst Temperature, K: 1164; Size of Rupture Opening, cm: 0.023; Hydrogen Content, ppm: 520, 1650, 178, 111",Zircaloy-4,ruptured rods,,burst test,,,,,,,,,,,,,,,,,,890.85,steam,,,,,,steam,,,,,,,,,,,,,,,520.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,Table 6,"Burst Temperature, K: 1052; Size of Rupture Opening, cm: 0.261; Hydrogen Content, ppm: 80, 70, 120, 60",Zircaloy-4,ruptured rods,,burst test,,,,,,,,,,,,,,,,,,778.85,steam,,,,,,steam,,,,,,,,,,,,,,,80.0,ppm,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,text,"pickup fraction of Zircaloy-2 depends somewhat on the oxygen content of the water or steam, it is usually between 10 and 50%",Zircaloy-2,,,corrosion test,,,,,,,,,,,,,,,,,,,water or steam,,,,,,,,,,,,,,,,,,,,,10.0–50.0,%,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,text,Zircaloy-4 has a pickup fraction between 5 and 25%,Zircaloy-4,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0–25.0,%,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,text,The coolant in pressurized water reactors contains some dissolved hydrogen (10 to 60 cm³/kg),,coolant,,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,10.0–60.0,cm³/kg,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,text,porous thicker oxide with higher hydrogen contents consisted of monoclinic and metastable tetragonal zirconia,Zircaloy,oxidized,,X-ray diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk6,text,Two of the LWBR intentionally defected seed-type irradiation test rods had areas of accelerated and massive hydriding in their plenum regions,Zircaloy,irradiation test rods,intentionally defected,irradiation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk7,text,"Electron microprobe examination identified Inconel X-750 constituents (nickel, chromium, iron, and titanium) on the hydrided inside cladding surface",Inconel X-750,hydrided inside cladding surface,,examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk7,text,Inconel-600 from LWBR fuel module baseplates can smear and mechanically bond to the bearing surfaces of Zircaloy-4,Inconel-600,baseplates,module assembly,out-of-pile testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk7,text,nickel-alloy smearing resulted in subsequent accelerated hydriding on exposure to LWBR coolant conditions,nickel-alloy,,,,,,,,,,,,,,,,,,,,,,LWBR coolant,,,,,,,,,,,,,,,,,,,,,,,,
